"","Subject_ID","Gender","Calibration","Resolution","crit_Susceptibility"
"1",1,1,1.57098216697147,-0.00717410931314677,-0.105079639717332
"2",2,1,-0.621064814814815,0.0761606677099634,0.0382230078626385
"3",3,0,-0.447512101767421,0.133754305396096,0.158521818965512
"4",4,1,0.141815988873692,-0.005,-0.0740461982246421
"5",5,0,0.0559325142123601,0.075970515970516,0.0752708616958514
"6",6,1,-0.608232118758435,0.163177648040033,0.0223808443598228
"7",7,1,0.22120211013555,0.110577167556573,-0.0137113530392679
"8",8,1,-0.094595311808934,0.184900110307636,-0.0972441448833955
"9",9,1,1.29655030165524,0.0158333333333334,-0.127560421149222
"10",10,0,0.124487583662926,0.0658038538970377,0.0599117669630815
"11",11,1,0.536525307797538,0.0584699453551912,0.0233340892217418
"12",12,1,0.441989270652762,0.0274382741366582,0.0121426241481667
"13",13,1,-0.505274196533218,0.121116279069767,-0.114325985810761
"14",14,0,0.96063122923588,0.0257777777777778,0.0175816466991445
"15",15,0,0.426937441643324,0.0782708555491756,-0.0465126783959604
"16",16,1,0.628621816603815,0.0406698564593301,-0.0740501495628926
"17",17,1,0.0218717876833942,0.123515151515152,0.0810360332482325
"18",18,1,-0.0493914068359583,0.0954599761051375,-0.0181297620443575
"19",19,0,0.117342329885884,0.028888888888889,0.144181751852477
"20",20,1,-0.28616552529596,0.0967368421052631,-0.0444346771765218
"21",21,1,0.40594627389262,0.0619047619047619,0.176986846176358
"22",22,1,-0.278714026445424,0.230701754385965,-0.101953834872025
"23",23,0,1.25067069081154,0.116195856873823,-0.141010535690668
"24",24,1,-0.433706545750494,0.0994990983770787,-0.0721662965701514
"25",25,1,-0.163186813186813,0.115156659978392,-0.203838621451818
"26",26,1,0.416666666666667,-0.0197963800904977,0.0682890887302383
"27",27,1,0.368154761904762,-0.00312499999999993,0.0527804922260511
"28",28,1,0.265725372205532,0.0201036736533694,0.162843824066724
"29",29,1,-0.401436781609195,0.0972258292999646,0.0730564670686012
"30",30,1,0.31304830862353,0.0175332068311196,0.0676664658757492
"31",31,1,-0.278399168976845,0.0984014992834307,0.0755407306469211
"32",32,0,0.363319947456881,0.00820271682340645,0.127507667914352
"33",33,0,0.496394230769231,0.0522655648154633,-0.103335052529447
"34",34,1,-0.192224880382775,0.17859477124183,-0.0280553045042153
"35",35,0,0.442430323786256,0.0170588235294118,-0.0129724870636512
"36",36,0,0.59485707048777,0.0503775294472969,-0.151058432782943
"37",37,1,0.261998792798194,0.119928362097037,-0.107864178930823
"38",38,1,0.031652576489533,0.052436974789916,0.00867959233204114
"39",39,0,1.33438321020837,0.00609857978279038,0.187163017721159
